"filename", "language", "Python", "Markdown", "Shell Script", "pip requirements", "YAML", "JSON", "comment", "blank", "total"
"/Users/mateuszsoltykiewicz/Library/Mobile Documents/com~apple~CloudDocs/Heater/AppLib/README.md", "Markdown", 0, 111, 0, 0, 0, 0, 0, 43, 154
"/Users/mateuszsoltykiewicz/Library/Mobile Documents/com~apple~CloudDocs/Heater/AppLib/adapters/__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/mateuszsoltykiewicz/Library/Mobile Documents/com~apple~CloudDocs/Heater/AppLib/adapters/canbus.py", "Python", 46, 0, 0, 0, 0, 0, 2, 5, 53
"/Users/mateuszsoltykiewicz/Library/Mobile Documents/com~apple~CloudDocs/Heater/AppLib/adapters/canbus_writer_event.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/mateuszsoltykiewicz/Library/Mobile Documents/com~apple~CloudDocs/Heater/AppLib/adapters/database_reader_event.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/mateuszsoltykiewicz/Library/Mobile Documents/com~apple~CloudDocs/Heater/AppLib/adapters/i2c.py", "Python", 56, 0, 0, 0, 0, 0, 8, 8, 72
"/Users/mateuszsoltykiewicz/Library/Mobile Documents/com~apple~CloudDocs/Heater/AppLib/adapters/i2c_producer_event.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/mateuszsoltykiewicz/Library/Mobile Documents/com~apple~CloudDocs/Heater/AppLib/adapters/kafka_consumer_event.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/mateuszsoltykiewicz/Library/Mobile Documents/com~apple~CloudDocs/Heater/AppLib/adapters/kafka_producer_event.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/mateuszsoltykiewicz/Library/Mobile Documents/com~apple~CloudDocs/Heater/AppLib/adapters/mtls.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/mateuszsoltykiewicz/Library/Mobile Documents/com~apple~CloudDocs/Heater/AppLib/adapters/tracing.py", "Python", 24, 0, 0, 0, 0, 0, 2, 4, 30
"/Users/mateuszsoltykiewicz/Library/Mobile Documents/com~apple~CloudDocs/Heater/AppLib/adapters/updates.py", "Python", 85, 0, 0, 0, 0, 0, 14, 16, 115
"/Users/mateuszsoltykiewicz/Library/Mobile Documents/com~apple~CloudDocs/Heater/AppLib/adapters/vault.py", "Python", 23, 0, 0, 0, 0, 0, 1, 6, 30
"/Users/mateuszsoltykiewicz/Library/Mobile Documents/com~apple~CloudDocs/Heater/AppLib/api/README.dependencies.md", "Markdown", 0, 46, 0, 0, 0, 0, 0, 30, 76
